input,libaarhusxyz,alc
,timestamp,DateTime
,date,Date
,time,Time
,,Flight
,title,Line
,,GdSpeed
,,Alt
,,DEM
,,Magnetic
,,PowerLineMonitor
,,RxPitch
,,RxRoll
,topo,Topography
,tx_altitude,TxAltitude
,,TxOffTime
,,TxOnTime
,,TxPeakTime
,tilt_x,TxPitch
,tilt_y,TxRoll
,,TxRxHoriSep
,,TxRxVertSep
,utmx,UTMX
,utmy,UTMY
,,Current_Ch01
,,Current_Ch02
,,Gate_Ch01
,,Gate_Ch02
,,STD_Ch01
,,STD_Ch02
,,InUse_Ch01
,,InUse_Ch02

elevation,topo,
doi_conservative,doi_upper,
doi_standard,doi_lower,
altitude_[m],invalt,
altitude_std_[fact],invaltstd,
altitude_a-priori_[m],alt,
altitude_a-priori_std_[fact],altstd,
segments,segment,

sigma,sigma_i,
thk,height,
rho_i,resistivity,
rho,resistivity,
rho_i_std,resistivity_variance_factor,
rho_std,resistivity_variance_factor,
gate times,gate times (s),

numlayer,number of layers,

line_no,title,
line_id,title,
line,title,
